gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z
0.36621094,-2.6855469,-2.380371,-0.073023155,-0.06584055,-9.810242
0.30517578,-2.6245117,-2.319336,-0.06823475,-0.05746084,-9.817424
0.30517578,-2.6855469,-2.380371,-0.08259996,-0.05626374,-9.788693
0.24414062,-2.746582,-2.4414062,-0.077811554,-0.047884032,-9.797073
0.30517578,-2.746582,-2.319336,-0.08259996,-0.049081136,-9.8198185
0.30517578,-2.746582,-2.319336,-0.08499416,-0.05746084,-9.793482
0.30517578,-2.6245117,-2.380371,-0.077811554,-0.051475335,-9.803059
0.36621094,-2.6855469,-2.319336,-0.06703765,-0.05746084,-9.813833
0.36621094,-2.6245117,-2.380371,-0.06823475,-0.061052144,-9.831789
0.4272461,-2.6245117,-2.380371,-0.06943185,-0.06823475,-9.813833
0.36621094,-2.5634766,-2.319336,-0.05865794,-0.06344634,-9.813833
0.36621094,-2.6855469,-2.380371,-0.06464344,-0.061052144,-9.830592
0.30517578,-2.6855469,-2.380371,-0.06584055,-0.049081136,-9.813833
0.30517578,-2.6855469,-2.319336,-0.06943185,-0.055066638,-9.816227
0.30517578,-2.6855469,-2.319336,-0.06823475,-0.055066638,-9.817424
0.36621094,-2.746582,-2.319336,-0.06344634,-0.053869538,-9.812635
0.30517578,-2.6855469,-2.319336,-0.06584055,-0.05626374,-9.812635
0.36621094,-2.6855469,-2.2583008,-0.061052144,-0.06464344,-9.847352
0.24414062,-2.6245117,-2.319336,-0.05865794,-0.053869538,-9.831789
0.36621094,-2.6855469,-2.319336,-0.06943185,-0.061052144,-9.830592
0.36621094,-2.6855469,-2.319336,-0.06464344,-0.062249243,-9.846154
0.36621094,-2.6245117,-2.380371,-0.061052144,-0.06464344,-9.831789
0.30517578,-2.6855469,-2.380371,-0.06464344,-0.06344634,-9.829395
0.4272461,-2.6245117,-2.380371,-0.07062895,-0.059855044,-9.821015
0.36621094,-2.6855469,-2.380371,-0.05746084,-0.05267244,-9.831789
0.36621094,-2.6855469,-2.380371,-0.062249243,-0.06584055,-9.836577
0.36621094,-2.6245117,-2.380371,-0.075417355,-0.059855044,-9.824607
0.30517578,-2.6245117,-2.380371,-0.06703765,-0.06344634,-9.828198
0.36621094,-2.6855469,-2.319336,-0.07062895,-0.061052144,-9.846154
0.36621094,-2.6855469,-2.319336,-0.062249243,-0.07182605,-9.824607
0.30517578,-2.6855469,-2.380371,-0.07062895,-0.06344634,-9.827001
0.24414062,-2.6855469,-2.319336,-0.073023155,-0.05626374,-9.816227
0.36621094,-2.6855469,-2.319336,-0.06943185,-0.053869538,-9.810242
0.30517578,-2.6245117,-2.5024414,-0.06584055,-0.053869538,-9.82341
0.36621094,-2.6245117,-2.380371,-0.07062895,-0.059855044,-9.822212
0.36621094,-2.6855469,-2.380371,-0.08499416,-0.06943185,-9.812635
0.30517578,-2.6855469,-2.319336,-0.06464344,-0.05746084,-9.832987
0.30517578,-2.6245117,-2.380371,-0.076614454,-0.062249243,-9.818622
0.30517578,-2.6245117,-2.319336,-0.08140286,-0.062249243,-9.816227
0.36621094,-2.6245117,-2.319336,-0.07182605,-0.05626374,-9.817424
0.36621094,-2.6855469,-2.319336,-0.06823475,-0.062249243,-9.82341
0.36621094,-2.6245117,-2.319336,-0.062249243,-0.053869538,-9.817424
0.30517578,-2.6245117,-2.380371,-0.06823475,-0.051475335,-9.816227
0.36621094,-2.6855469,-2.319336,-0.073023155,-0.05626374,-9.836577
0.36621094,-2.6245117,-2.380371,-0.059855044,-0.05267244,-9.816227
0.36621094,-2.8076172,-2.319336,-0.07062895,-0.05267244,-9.832987
0.36621094,-2.6855469,-2.319336,-0.06464344,-0.053869538,-9.818622
0.30517578,-2.746582,-2.380371,-0.075417355,-0.06943185,-9.838972
0.4272461,-2.6245117,-2.4414062,-0.05746084,-0.061052144,-9.846154
0.36621094,-2.6245117,-2.319336,-0.05626374,-0.059855044,-9.844957
0.36621094,-2.6245117,-2.319336,-0.05746084,-0.053869538,-9.841366
0.36621094,-2.6245117,-2.380371,-0.053869538,-0.05626374,-9.841366
0.4272461,-2.6855469,-2.380371,-0.06344634,-0.061052144,-9.847352
0.4272461,-2.6245117,-2.2583008,-0.059855044,-0.05865794,-9.837775
